action_id,related_event_id,problem,temporary_action,permanent_action,owner,due_date,status,close_date,recurrence_flag
A001,E001,AOI 首件确认失败,重新调整检测参数,优化 AOI 首件检测 SOP，增加参数预检步骤,王工,2026-05-10,Open,,FALSE
A002,E002,贴片机吸嘴堵塞,更换吸嘴,建立吸嘴定期点检制度，每周清洁一次,李工,2026-05-08,In Progress,,FALSE
A003,E003,来料标签与工单不一致,品质复核后放行,与供应商沟通标签规范，增加来料核对步骤,张工,2026-05-15,Open,,FALSE
A004,E004,换线 recipe 调用错误,重新确认程序版本,建立换线 checklist，包含程序版本确认项,陈工,2026-05-05,Closed,2026-05-04,FALSE
A005,E005,测试治具接触不良,维修后恢复,制定治具定期保养计划，每 500 次测试更换探针,刘工,2026-05-12,In Progress,,FALSE
A006,E008,回流炉温度异常,等待设备维修,增加回流炉温度实时监控报警,赵工,2026-05-20,Open,,FALSE
A007,E012,来料电阻混料,退料重新领料,IQC 增加抽检比例，与供应商约谈质量改善,张工,2026-05-18,Open,,FALSE
A008,E015,AOI 误判率升高,重新标定参数,建立 AOI 设备定期校准计划，每月一次,王工,2026-05-08,Closed,2026-05-07,FALSE
A009,E016,回流炉链条卡顿,停机维修,增加链条润滑保养频率，改为每周一次,赵工,2026-05-10,In Progress,,FALSE
A010,E019,程序版本不匹配,调用正确版本,建立程序版本管理系统，换线前自动校验,陈工,2026-05-12,Open,,FALSE
A011,E020,锡膏过期未更换,更换锡膏,建立锡膏 FIFO 管理制度，每日巡检,李工,2026-05-06,Closed,2026-05-05,FALSE
A012,E024,回流炉氮气浓度异常,等待维修,增加氮气浓度在线监测，设定报警阈值,赵工,2026-05-22,Open,,FALSE
A013,E028,来料 PCB 板弯翘,降级使用,与供应商制定 PCB 板弯翘检验标准,张工,2026-05-16,Open,,FALSE
A014,E032,回流炉热风循环异常,更换风扇,制定风扇寿命管理计划，提前备件,赵工,2026-05-10,In Progress,,FALSE
A015,E001,AOI 首件确认失败（复发）,重新调整检测参数,同 A001，需加强执行力度,王工,2026-05-15,Open,,TRUE
A016,E004,换线 recipe 调用错误（复发）,重新确认程序版本,同 A004，checklist 未执行到位,陈工,2026-05-10,Open,,TRUE
A017,E020,锡膏管理问题（复发）,更换锡膏,同 A011，FIFO 制度未落实,李工,2026-05-12,Open,,TRUE
